seed,box_hash,exact_family_agreement_fraction,exact_family_agreement_inputs,exact_seconds,family,maximum_final_logit_interval_width,median_final_logit_interval_width,member_count,member_semantics_hashes,observed_unsound_certificates,p90_final_logit_interval_width,samples,static_certified_fraction,static_certified_inputs,static_seconds
1701,46e16da88852a106b08ad7a4b58c741d6d2d3a5ea0a4eb35b8912721c9c135fe,0.7526132404181185,648,0.65652050008066,reset,22.75331073999405,2.323626669240184,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f']",0,7.935945948772133,861,0.7526132404181185,648,1.1909513999707997
1701,d5e8343d5f2db43f9baadc1dd82a8dec788a9ec08d288fd8122ff4a1b1af38fb,0.8548199767711963,736,0.65314060007222,integration,15.85591834038496,1.3346965192467906,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', 'ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3']",0,4.697292003454643,861,0.8548199767711963,736,0.8787948000244796
1701,fd7642b922760a5b7b487921b39d48dc1739013e407a713da2657bebf37ab4a8,0.8536585365853658,735,0.6096079000271857,timing,11.512213116278872,1.3805064740590751,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295']",0,3.6442971389740704,861,0.8536585365853658,735,0.7786200998816639
1701,732fc36562002d4ff9a61c0af5d19d783c008135dac91ce7ea3639e191e7fd32,0.8536585365853658,735,0.6039714999496937,delay,11.512213116278872,1.3805064740590751,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667']",0,3.6442971389740704,861,0.8536585365853658,735,0.743989400099963
1701,ff1e52035f7c29b74ebe9b65272c73af3cbce6a4e60c0be79f271911df3ce69c,0.38443670150987225,331,3.3153995000757277,full,31.91321355290711,5.319706864480395,16,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667', '4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f', '7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746', '2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295', 'e238fb3035f02e3a53322818408a4b0ab2eab83d7015d7b36ba1f40b46d216a7', 'b405ff987a778fd3da38713609359bbf352e36f56fdb18abdb43ea2c89c8af35', 'be2c47fd653f36dd52ef81e3bb1412d92b03c26be45db023deb6cf87245d65ff', 'ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3', '43628b98f57e5dcad68a230461a79b46d52c0fe094ed8d2217b5186331356adf', 'c7446c2b53813fbba989999169770f1271e53ba3f02081090fa64fd4c97ec71d', '2b25ae05766213663dd7cea58d31c3722f85b4a6e1df173affbf8a33c030f36e', '0b15e288755ec19a981346126b85513adab80d36108dfaf62aecb653a721070d', '41dc4338bcc2fa000188b3cc0e6a09ce6c70b00f27849d33d4c2fcd9521f03e6', 'aa596ec4ed2e62e783164df9cc5949cd063c1a755167b2cb69cbf1ede4c1a652', '7275871ecce0b99d8d3cfe86dc7843f7863b464e3a4e494c8f11abb6e85c9a10']",0,12.636218552768696,861,0.38443670150987225,331,4.098266700049862
1701,00b3f742091e41e4469f82de5e86f70e4315fb8afc897516188aca406e9ebb6a,0.9512195121951219,819,0.45826940005645156,fixed_nearest,0.0,0.0,1,['7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815'],0,0.0,861,0.9500580720092915,818,0.5986697999760509
1701,d39c93b23c115eb5ac4a10ebbe80d2f87a28628ff48b5e83e10c6d37872c71c6,0.15911730545876887,137,0.41432889993302524,fixed_floor,0.0,0.0,1,['5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6'],0,0.0,861,0.15911730545876887,137,0.6169292000122368
2718,46e16da88852a106b08ad7a4b58c741d6d2d3a5ea0a4eb35b8912721c9c135fe,0.735191637630662,633,0.614104500040412,reset,25.55326763400808,2.5134377613430843,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f']",0,8.02851135271194,861,0.735191637630662,633,1.1158632999286056
2718,d5e8343d5f2db43f9baadc1dd82a8dec788a9ec08d288fd8122ff4a1b1af38fb,0.8281068524970964,713,0.6262607998214662,integration,12.847983184154145,1.404706451576203,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', 'ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3']",0,4.647934406343848,861,0.8281068524970964,713,0.9454340001102537
2718,fd7642b922760a5b7b487921b39d48dc1739013e407a713da2657bebf37ab4a8,0.7816492450638792,673,0.6044020999688655,timing,13.769273520447314,1.8736091250320897,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295']",0,4.783519641647581,861,0.7816492450638792,673,0.7843663000967354
